iter	Passed	Remaining
0	1	170
1	3	152
2	4	140
3	5	132
4	6	127
5	7	124
6	9	121
7	10	121
8	11	119
9	13	118
10	14	117
11	15	117
12	17	115
13	18	114
14	19	112
15	21	110
16	22	108
17	23	107
18	24	106
19	26	105
20	27	103
21	28	102
22	30	100
23	31	99
24	32	97
25	33	96
26	34	94
27	36	93
28	37	91
29	38	90
30	40	89
31	41	88
32	42	86
33	44	85
34	45	84
35	46	83
36	47	81
37	49	80
38	50	79
39	52	78
40	53	76
41	54	75
42	55	74
43	56	72
44	57	70
45	59	69
46	60	67
47	61	66
48	62	65
49	64	64
50	65	62
51	66	61
52	67	60
53	69	58
54	70	57
55	71	56
56	72	54
57	74	53
58	75	52
59	76	51
60	78	49
61	79	48
62	80	47
63	82	46
64	83	44
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	95	33
74	96	32
75	97	30
76	98	29
77	100	28
78	101	26
79	102	25
80	103	24
81	105	23
82	106	21
83	107	20
84	108	19
85	110	17
86	111	16
87	112	15
88	113	14
89	114	12
90	116	11
91	117	10
92	118	8
93	120	7
94	121	6
95	122	5
96	124	3
97	125	2
98	126	1
99	127	0
