iter	Passed	Remaining
0	150	150498
1	151	75826
2	153	50890
3	154	38523
4	155	31032
5	157	26027
6	159	22562
7	161	20007
8	162	17929
9	163	16233
10	165	14847
11	166	13689
12	167	12748
13	169	11910
14	170	11181
15	171	10561
16	174	10091
17	175	9594
18	177	9142
19	178	8730
20	179	8361
21	181	8047
22	182	7739
23	183	7454
24	184	7190
25	185	6945
26	187	6750
27	188	6550
28	190	6363
29	191	6178
30	192	6005
31	193	5848
32	194	5703
33	195	5562
34	196	5427
35	197	5299
36	198	5177
37	201	5092
38	202	4993
39	204	4900
40	205	4809
41	207	4722
42	208	4635
43	209	4550
44	210	4468
45	211	4389
46	212	4316
47	214	4263
48	216	4200
49	217	4135
50	218	4069
51	219	4009
52	221	3949
53	222	3890
54	223	3833
55	224	3778
56	225	3725
57	226	3674
58	228	3637
59	229	3594
60	230	3548
61	231	3507
62	232	3464
63	234	3426
64	235	3387
65	236	3347
66	237	3307
67	238	3270
68	239	3233
69	240	3199
70	242	3167
71	243	3137
72	244	3107
73	245	3076
74	246	3045
75	248	3019
76	249	2990
77	250	2960
78	251	2932
79	252	2904
80	253	2876
81	254	2851
82	255	2821
83	256	2800
84	258	2779
85	259	2757
86	260	2734
87	261	2714
88	263	2694
89	264	2673
90	265	2653
91	266	2633
92	267	2612
93	269	2595
94	270	2575
95	271	2559
96	273	2543
97	274	2527
98	275	2510
99	277	2494
100	278	2476
101	279	2458
102	280	2440
103	281	2424
104	282	2412
105	284	2397
106	285	2384
107	287	2371
108	288	2357
109	289	2345
110	291	2332
111	292	2316
112	293	2301
113	294	2287
114	295	2272
115	296	2259
116	297	2245
117	298	2231
118	299	2219
119	301	2209
120	302	2198
121	303	2185
122	304	2174
123	306	2162
124	307	2151
125	308	2140
126	309	2127
127	310	2117
128	312	2107
129	313	2096
130	314	2086
131	315	2076
132	317	2068
133	318	2058
134	319	2049
135	320	2039
136	322	2028
137	323	2018
138	324	2009
139	325	2000
140	326	1991
141	327	1980
142	329	1972
143	330	1965
144	332	1957
145	333	1949
146	334	1940
147	335	1930
148	336	1921
149	337	1912
150	338	1904
151	340	1897
152	341	1889
153	342	1881
154	343	1874
155	345	1869
156	346	1861
157	347	1853
158	349	1846
159	350	1837
160	350	1828
161	352	1821
162	353	1814
163	354	1806
164	355	1799
165	356	1792
166	358	1785
167	359	1781
168	360	1775
169	362	1768
170	363	1762
171	364	1755
172	366	1752
173	367	1745
174	368	1739
175	370	1732
176	371	1726
177	372	1719
178	373	1713
179	375	1709
180	376	1703
181	377	1697
182	378	1691
183	380	1685
184	381	1679
185	382	1673
186	383	1667
187	384	1662
188	386	1656
189	387	1650
190	388	1645
191	389	1639
192	390	1634
193	391	1628
194	393	1622
195	394	1616
196	395	1610
197	396	1604
198	397	1599
199	398	1593
200	399	1587
201	400	1582
202	401	1576
203	402	1571
204	403	1566
205	404	1560
206	406	1555
207	407	1550
208	408	1545
209	409	1539
210	410	1534
211	411	1529
212	412	1524
213	413	1518
214	414	1513
215	415	1508
216	416	1504
217	418	1500
218	419	1494
219	420	1489
220	421	1485
221	422	1480
222	423	1476
223	424	1471
224	425	1466
225	426	1461
226	427	1456
227	428	1452
228	430	1447
229	431	1443
230	432	1439
231	433	1435
232	435	1432
233	436	1428
234	437	1424
235	438	1419
236	439	1415
237	440	1410
238	441	1405
239	442	1401
240	443	1396
241	444	1392
242	445	1388
243	447	1385
244	448	1381
245	449	1377
246	450	1373
247	451	1369
248	452	1366
249	454	1362
250	455	1358
251	456	1354
252	457	1351
253	458	1347
254	459	1343
255	461	1339
256	462	1336
257	463	1332
258	464	1329
259	466	1326
260	467	1322
261	468	1318
262	469	1314
263	470	1310
264	471	1306
265	472	1302
266	473	1299
267	474	1295
268	475	1292
269	476	1289
270	478	1286
271	479	1283
272	480	1279
273	481	1276
274	483	1273
275	484	1270
276	485	1266
277	486	1263
278	487	1260
279	489	1257
280	490	1254
281	491	1251
282	492	1248
283	494	1245
284	495	1242
285	496	1239
286	497	1236
287	498	1233
288	500	1230
289	501	1226
290	502	1223
291	503	1221
292	505	1219
293	506	1216
294	507	1213
295	508	1210
296	509	1207
297	511	1203
298	512	1200
299	513	1197
300	514	1194
301	515	1192
302	517	1189
303	518	1187
304	519	1184
305	521	1182
306	522	1179
307	523	1176
308	524	1173
309	525	1170
310	526	1167
311	527	1163
312	528	1160
313	529	1157
314	530	1154
315	532	1151
316	533	1148
317	534	1146
318	535	1143
319	536	1140
320	537	1137
321	538	1134
322	539	1131
323	540	1128
324	541	1125
325	542	1122
326	544	1119
327	545	1116
328	546	1114
329	547	1111
330	548	1108
331	549	1105
332	550	1103
333	551	1100
334	552	1097
335	553	1094
336	554	1091
337	555	1088
338	556	1085
339	557	1082
340	558	1080
341	559	1077
342	560	1074
343	562	1072
344	563	1069
345	564	1067
346	565	1065
347	567	1062
348	568	1060
349	569	1057
350	570	1054
351	571	1052
352	572	1050
353	574	1047
354	575	1045
355	576	1043
356	577	1041
357	579	1038
358	580	1036
359	581	1033
360	582	1030
361	583	1028
362	584	1025
363	585	1023
364	586	1020
365	587	1018
366	588	1015
367	589	1012
368	590	1010
369	592	1008
370	593	1006
371	594	1003
372	595	1001
373	596	999
374	598	996
375	599	994
376	600	992
377	601	989
378	602	987
379	603	985
380	605	983
381	606	980
382	607	978
383	608	976
384	610	974
385	611	972
386	612	970
387	613	967
388	614	965
389	615	963
390	616	960
391	618	958
392	619	956
393	620	954
394	622	952
395	623	951
396	624	948
397	625	946
398	626	944
399	628	942
400	629	940
401	630	938
402	631	935
403	632	933
404	633	931
405	635	929
406	636	927
407	637	925
408	638	923
409	640	921
410	641	918
411	642	917
412	643	915
413	644	912
414	646	910
415	647	908
416	648	906
417	649	904
418	650	902
419	652	900
420	653	899
421	655	897
422	662	903
423	664	902
424	668	905
425	671	904
426	673	903
427	675	903
428	678	902
429	681	902
430	684	903
431	686	902
432	688	901
433	690	900
434	692	899
435	694	898
436	698	899
437	700	898
438	702	897
439	704	896
440	706	895
441	708	894
442	710	893
443	713	893
444	715	892
445	717	891
446	720	891
447	722	889
448	724	888
449	726	888
450	729	887
451	731	886
452	734	886
453	735	884
454	737	883
455	740	882
456	741	881
457	743	879
458	745	878
459	747	877
460	748	874
461	749	872
462	750	870
463	752	869
464	753	867
465	755	865
466	756	863
467	757	861
468	759	859
469	760	857
470	761	855
471	763	853
472	764	852
473	766	850
474	767	848
475	769	846
476	770	845
477	772	843
478	773	841
479	774	839
480	775	837
481	776	835
482	778	832
483	779	830
484	780	828
485	781	826
486	783	825
487	784	823
488	785	821
489	787	819
490	788	817
491	789	815
492	790	813
493	791	811
494	792	808
495	793	806
496	794	804
497	796	802
498	797	800
499	798	798
500	799	796
501	801	794
502	802	792
503	803	790
504	804	788
505	805	786
506	806	784
507	807	782
508	808	780
509	809	778
510	810	776
511	812	773
512	813	771
513	814	770
514	815	768
515	816	765
516	817	763
517	818	761
518	819	759
519	820	757
520	821	755
521	822	753
522	823	751
523	824	749
524	825	747
525	826	745
526	828	743
527	829	741
528	830	739
529	831	737
530	832	735
531	833	733
532	834	731
533	836	729
534	837	727
535	838	725
536	839	723
537	840	721
538	841	719
539	842	717
540	844	716
541	845	714
542	846	712
543	847	710
544	848	708
545	849	706
546	850	704
547	852	702
548	853	700
549	854	699
550	855	697
551	857	695
552	858	694
553	859	692
554	861	690
555	862	688
556	863	686
557	864	684
558	865	682
559	866	680
560	868	679
561	869	677
562	870	675
563	872	674
564	873	672
565	875	671
566	877	669
567	878	668
568	879	666
569	881	664
570	882	663
571	884	661
572	885	659
573	886	658
574	888	656
575	890	655
576	891	653
577	892	651
578	893	649
579	894	647
580	895	646
581	897	644
582	898	642
583	899	640
584	900	639
585	902	637
586	903	635
587	905	634
588	906	632
589	907	630
590	908	628
591	909	627
592	911	625
593	912	623
594	913	621
595	915	620
596	916	618
597	918	617
598	919	615
599	920	613
600	922	612
601	923	610
602	925	609
603	926	607
604	927	605
605	928	603
606	930	602
607	931	600
608	932	598
609	933	597
610	935	595
611	936	593
612	938	592
613	939	590
614	940	588
615	941	587
616	943	585
617	944	583
618	945	582
619	946	580
620	948	578
621	949	577
622	951	575
623	952	573
624	953	572
625	954	570
626	955	568
627	957	567
628	959	565
629	960	564
630	962	562
631	964	561
632	966	560
633	967	558
634	969	557
635	970	555
636	972	553
637	974	552
638	976	551
639	978	550
640	980	549
641	981	547
642	982	545
643	984	544
644	986	542
645	987	540
646	988	539
647	989	537
648	991	536
649	992	534
650	994	533
651	995	531
652	996	529
653	997	527
654	998	526
655	1000	524
656	1001	522
657	1002	521
658	1004	519
659	1005	518
660	1007	516
661	1008	514
662	1009	513
663	1010	511
664	1011	509
665	1013	508
666	1014	506
667	1015	504
668	1016	503
669	1017	501
670	1019	499
671	1020	498
672	1022	496
673	1023	494
674	1024	493
675	1025	491
676	1026	489
677	1027	488
678	1028	486
679	1030	485
680	1032	483
681	1034	482
682	1035	480
683	1036	479
684	1038	477
685	1039	475
686	1040	473
